"idVice","nombres","idRegion"
"1","WALTER OLIVEROS PADILLA","1"
"2","TEOFILO PISCO MENDIETA","2"
"3","MATEO ASCUE OSORIO","3"
"4","DIONICIO FRANCISCO MITACC REYES","4"
"5","JOSE HUAMAN MEJIA","5"
"6","JOSE URBANO GUEVARA CORTEZ","6"
"7","MAURO HERMENEGILDO SAUCEDO CASTRO","7"
"8","JOVITA PATI?O DE ESPINOZA","8"
"9","ZOSIMO ARROYO OBREGON","9"
"10","ANTONIO SANCHEZ","10"
"11","DAVID COLCHADO  NONAJULCA","11"
"12","ALFREDO RAFAEL PORTILLA AVELINO","12"
"13","HECTOR ANGEL UCAÑAN URIOL","13"
"14","JORGE LUIS ROMERO BRAVO","14"
"15","PERSI EDWIN CHUNGA BLANCO","15"
"16","CABREJOS  POZO  CESAR AUGUSTO","16"
"17","AURELIO ISAAC HUAMAN NIEVES","17"
"18","PARIASCA  PEREZ  NAVAL DAVID","18"
"19","BAHUMER CARDENAS TREBEJO","19"
"20","ESTUARDO ZEVALLOS VARGAS","20"
"21","WILMER ENRIQUE ARRIAGA AMARINGO","21"
"22","PEDRO PASCUAL HUAMANI ALA","22"
"23","MAGDA E. TAPIA ESQUIAGOLA DE DIAZ","23"
"24","HEDGAR LUIS VIVAR OSORIO","24"
"25","MARCIAL VALENCIA VALDIVIEZO","25"
"26","CARLOS WILFREDO BOGGIANNO PAREDES","26"
"27","EDILBERTO LUCIO PEREZ REVILLA","27"
"28","JOSE DOLORES CORTEZ NU?EZ","28"
"29","HUGO TEODORO HUANCA CHARCA","29"
"30","GILBERTO LOZANO CRUZADO","30"
"31","RICARDO MORI HURTADO","31"
